Altium Designer Pick and Place Locations
G:\Git\RUMBA32\Source\Project Outputs for RUMBA32\Pick Place for RUMBA32.csv

========================================================================================================================
File Design Information:

Date:       29/05/19
Time:       21:07
Revision:   94be7f261eb24ac4ffcab3cee12fbea82752369c
Variant:    No variations
Units used: mm

"Designator","Description","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"FAN0","TERM BLK 2POS SIDE ENT 3.5MM PCB","TopLayer","TERM2_3.5MM","70.3390","6.1544","180"
"HE2","TERM BLK 2POS SIDE ENT 3.5MM PCB","TopLayer","TERM2_3.5MM","62.0078","6.1544","180"
"E2_MOT_A","Header, 4-Pin","TopLayer","HDR1X4","127.4378","65.8190","180"
"E1_MOT_A","Header, 4-Pin","TopLayer","HDR1X4","112.2134","65.8444","180"
"E0_MOT_A","Header, 4-Pin","TopLayer","HDR1X4","96.9889","65.8698","180"
"C9","CAP CER 1UF 16V X7R 0603","TopLayer","Cap_1608-0603","7.5264","22.2580","180"
"HE1","TERM BLK 2POS SIDE ENT 3.5MM PCB","TopLayer","TERM2_3.5MM","53.6258","6.1290","180"
"R9","RES SMD 22 OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","27.8085","9.0901","360"
"R2","RES SMD 2.2K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","24.5065","7.5661","180"
"PWR","Header, 2-Pin","TopLayer","HDR1X2","39.3484","3.5128","90"
"5V","Header, 2-Pin","TopLayer","HDR1X2","39.3484","18.7528","90"
"PS_ON","Header, 2-Pin","TopLayer","HDR1X2","20.2608","65.9039","360"
"C29","CAP CER 1UF 16V X7R 0603","TopLayer","Cap_1608-0603","7.5264","34.4500","180"
"C1","CAP ALUM 100UF 20% 35V SMD","TopLayer","CAP_EL_PANASONIC","97.1992","32.0464","180"
"C2","CAP CER 4.7UF 10V X7R 0603","TopLayer","Cap_1608-0603","109.6844","28.6427","270"
"C3","CAP CER 0.1UF 50V X7R 0603","TopLayer","CAP_1608-0603","20.0000","13.5750","360"
"C5","CAP CER 4.7UF 10V X7R 0603","TopLayer","CAP_1608-0603","15.1492","42.4962","360"
"C6","CAP CER 4.7UF 10V X7R 0603","TopLayer","CAP_1608-0603","21.6992","58.7462","270"
"C7","CAP CER 10UF 6.3V X7R 0805","TopLayer","CAPC2012X135N","38.8992","42.2732","180"
"C8","CAP CER 0.1UF 50V X7R 0603","TopLayer","CAP_1608-0603","32.4992","62.3000","90"
"C11","CAP CER 0.1UF 50V X7R 0603","TopLayer","CAP_1608-0603","13.2000","14.1999","90"
"C12","CAP CER 4.7UF 10V X7R 0603","TopLayer","CAP_1608-0603","15.1492","40.7962","360"
"C13","CAP CER 0.1UF 50V X7R 0603","TopLayer","CAP_1608-0603","38.8492","44.0232","180"
"C14","CAP CER 0.1UF 50V X7R 0603","TopLayer","CAP_1608-0603","35.3015","37.7921","360"
"C15","CAP CER 0.1UF 50V X7R 0603","TopLayer","CAP_1608-0603","19.9992","58.7462","270"
"C16","CAP CER 0.1UF 50V X7R 0603","TopLayer","CAP_1608-0603","38.8492","49.3962","180"
"C19","CAP CER 0.1UF 50V X7R 0603","TopLayer","CAP_1608-0603","32.4992","58.7462","270"
"C20","CAP CER 0.1UF 50V X7R 0603","TopLayer","CAP_1608-0603","38.8492","50.8962","180"
"C21","CAP ALUM 100UF 20% 35V SMD","TopLayer","CAP_EL_PANASONIC","52.2736","58.8098","360"
"C26","CAP CER 1UF 16V X7R 0603","TopLayer","Cap_1608-0603","7.5264","25.3060","180"
"C27","CAP CER 1UF 16V X7R 0603","TopLayer","Cap_1608-0603","7.5264","28.3540","180"
"C28","CAP CER 1UF 16V X7R 0603","TopLayer","Cap_1608-0603","7.5264","31.4020","180"
"D4","DIODE SCHOTTKY 40V 2A SOD123F","TopLayer","DIOM2616X08N","10.9992","5.7962","90"
"D5","DIODE SCHOTTKY 40V 2A SOD123F","TopLayer","DIOM2616X08N","106.6958","28.6537","180"
"HB-OUT","TERM BLK 2POS SIDE ENTRY 5MM PCB","TopLayer","TERM2_5MM","122.1162","6.0782","360"
"HE0","TERM BLK 2POS SIDE ENT 3.5MM PCB","TopLayer","TERM2_3.5MM","45.2438","6.2052","180"
"E0_MOT","TERM BLK 4POS SIDE ENT 3.5MM PCB","TopLayer","TERM4_3.5MM","97.0281","71.2439","360"
"E1_MOT","TERM BLK 4POS SIDE ENT 3.5MM PCB","TopLayer","TERM4_3.5MM","112.2606","71.2439","360"
"U1","IC MCU 32BIT 512KB FLASH 100LQFP","TopLayer","STM-LQFP100_N","26.9992","46.8962","180"
"EXP1","Header, 5-Pin, Dual row","TopLayer","HDR2X5_EXP_INER_ONLY\","16.4508","71.1739","180"
"LED1","LED YELLOW CLEAR CHIP SMD 0603","TopLayer","LED_1608-0603","16.7595","58.7462","270"
"LD2","LED GREEN CLEAR CHIP SMD 0603","TopLayer","LED_1608-0603","125.8708","37.0250","270"
"LD3","LED GREEN CLEAR CHIP SMD 0603","TopLayer","LED_1608-0603","47.7000","27.6429","270"
"LD4","LED GREEN CLEAR CHIP SMD 0603","TopLayer","LED_1608-0603","55.7000","27.6429","270"
"LD1","LED GREEN CLEAR CHIP SMD 0603","TopLayer","LED_1608-0603","11.5000","10.0499","270"
"Q1","MOSFET N-CH 40V 56A LFPAK","TopLayer","LFPACK","45.2693","19.9333","180"
"Q2","MOSFET N-CH 40V 56A LFPAK","TopLayer","LFPACK","53.6740","19.8703","180"
"R1","RES SMD 22 OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","24.5064","9.0901","180"
"R3","RES SMD 2.2K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","27.8085","7.5661","360"
"R4","RES SMD 1K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","13.2000","9.9999","90"
"R5","RES SMD 54.9K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","111.2484","28.6428","270"
"R7","RES SMD 22 OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","20.0000","17.2000","180"
"R8","RES SMD 22 OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","19.9992","15.4000","180"
"R11","RES SMD 10K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","34.0315","62.3000","90"
"R12","RES SMD 10K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","19.9992","11.8000","180"
"R13","RES SMD 1K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","18.4105","58.7462","270"
"R14","RES SMD 10K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","34.0314","58.7471","90"
"R21","RES SMD 10K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","47.5000","60.9999","90"
"R22","RES SMD 100K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","47.5000","57.4999","270"
"R33","RES SMD 1K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","124.3972","37.0000","90"
"R34","RES SMD 22 OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","42.7512","27.6428","270"
"R35","RES SMD 100K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","44.4022","27.6428","270"
"R36","RES SMD 1K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","46.0531","27.6428","90"
"R37","RES SMD 22 OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","50.7271","27.6428","270"
"R38","RES SMD 100K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","52.3781","27.6428","270"
"R39","RES SMD 1K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","54.0290","27.6428","90"
"R40","RES SMD 4.7K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","7.5264","26.8300","360"
"R41","RES SMD 4.7K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","7.5264","29.8780","360"
"R42","RES SMD 4.7K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","7.5264","32.9260","360"
"Thermistors","Header, 5-Pin, Dual row","TopLayer","HDR2X5","2.8020","29.1160","270"
"Z+","Header, 3-Pin","TopLayer","HDR1X3-HEADER","4.0716","52.7379","180"
"Z-","Header, 3-Pin","TopLayer","HDR1X3-HEADER","4.0716","55.2780","180"
"X_MOT","TERM BLK 4POS SIDE ENT 3.5MM PCB","TopLayer","TERM4_3.5MM","51.3308","71.2439","360"
"Y+","Header, 3-Pin","TopLayer","HDR1X3-HEADER","4.0716","57.8180","180"
"Y-","Header, 3-Pin","TopLayer","HDR1X3-HEADER","4.0716","60.3580","180"
"Y_MOT","TERM BLK 4POS SIDE ENT 3.5MM PCB","TopLayer","TERM4_3.5MM","66.5632","71.2439","360"
"X+","Header, 3-Pin","TopLayer","HDR1X3-HEADER","4.0716","62.8980","180"
"X-","Header, 3-Pin","TopLayer","HDR1X3-HEADER","4.0716","65.4380","180"
"Z_MOT","TERM BLK 4POS SIDE ENT 3.5MM PCB","TopLayer","TERM4_3.5MM","81.7957","71.2439","360"
"R43","RES SMD 4.7K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","7.5264","35.9740","360"
"EXP2","Header, 5-Pin, Dual row","TopLayer","HDR2X5_EXP_INER_ONLY\","34.6626","71.1739","180"
"R32","RES SMD 100K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","122.9236","37.0000","270"
"E2_MOT","TERM BLK 4POS SIDE ENT 3.5MM PCB","TopLayer","TERM4_3.5MM","127.4930","71.2439","360"
"Q4","MOSFET N-CH 40V 56A LFPAK","TopLayer","LFPACK","70.3371","19.9333","180"
"Q3","MOSFET N-CH 40V 56A LFPAK","TopLayer","LFPACK","61.8541","19.9333","180"
"R46","RES SMD 22 OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","76.2292","27.6428","270"
"R47","RES SMD 100K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","77.7024","27.6428","270"
"R48","RES SMD 22 OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","59.0840","27.6428","270"
"R49","RES SMD 100K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","60.7349","27.6428","270"
"D6","DIODE GEN PURP 100V 1.5A SMA","TopLayer","DO-214AC","100.1072","22.8962","270"
"F1","FUSE HOLDER BLADE PCB","TopLayer","FUSEHOLDER_-_BK-6013_-_MINI_ATC_ATO_BLADE_15A","122.0800","16.0040","360"
"J2","CONN RCPT USB2.0 MICRO B SMD R/A","TopLayer","Micro-USB_B_Molex_105017-0001","3.1750","14.0999","270"
"EXP3","Header, 7-Pin, Dual row","TopLayer","HDR2X7","27.4792","3.5128","180"
"C32","CAP ALUM 100UF 20% 35V SMD","TopLayer","CAP_EL_PANASONIC","89.6448","5.5702","90"
"C33","CAP CER 0.1UF 50V X7R 0603","TopLayer","Cap_1608-0603","89.6000","21.5999","180"
"D8","DIODE SCHOTTKY 40V 4A DO214AA","TopLayer","DO-214AA","90.8000","18.3999","180"
"L2","FIXED IND 4.7UH 4.5A 26 MOHM SMD","TopLayer","SRN6045TA_SMD_Inductor","89.3575","13.0000","90"
"R56","RES SMD 140K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","86.8000","24.6999","90"
"R57","RES SMD 10K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","86.8000","28.3999","270"
"VFA0_sel","Header, 3-Pin","TopLayer","HDR1X3-HEADER","74.6798","17.5844","90"
"VFA1_sel","Header, 3-Pin","TopLayer","HDR1X3-HEADER","83.3158","17.6352","90"
"VHE2_sel","Header, 3-Pin","TopLayer","HDR1X3-HEADER","66.1708","17.5844","90"
"12V","Header, 2-Pin","TopLayer","HDR1X2","39.3484","11.1328","90"
"FAN0_1","Header, 2-Pin","TopLayer","HDR1X2","70.4674","14.4884","180"
"FAN1_1","Header, 2-Pin","TopLayer","HDR1X2","79.1036","14.4880","180"
"ENC_1","Header, 4-Pin","TopLayer","HDR1X4","5.3420","47.7850","180"
"ENC_2","Header, 4-Pin","TopLayer","HDR1X4","5.3420","45.2450","180"
"ENC_3","Header, 4-Pin","TopLayer","HDR1X4","5.3420","42.7049","180"
"ENC_4","Header, 4-Pin","TopLayer","HDR1X4","5.3420","40.1650","180"
"MAIN-PWR","TERM BLK 2POS SIDE ENTRY 5MM PCB","TopLayer","TERM2_5MM","102.1010","6.0782","360"
"HB-PWR","TERM BLK 2POS SIDE ENTRY 5MM PCB","TopLayer","TERM2_5MM","112.0832","6.0782","360"
"LD10","LED GREEN CLEAR CHIP SMD 0603","TopLayer","LED_1608-0603","34.0144","9.8628","180"
"R59","RES SMD 4.7K OHM 1% 1/10W 0603","TopLayer","RES_1608-0603","34.0144","11.6408","180"
"D7","DIODE GEN PURP 100V 1.5A SMA","TopLayer","DO-214AC","131.7070","16.8999","270"
